run,host,dev,tx_bytes,rx_bytes
p1_l70_tp2_dual_prefill_in4096_out32_c1,edgexpert-82e3,rocep1s0f0,5127094516,5127178032
p1_l70_tp2_dual_prefill_in4096_out32_c8,edgexpert-7afa,roceP2p1s0f0,2888565044,2888550656
p1_l70_tp2_dual_prefill_in4096_out32_c8,edgexpert-7afa,rocep1s0f0,2891160448,2891149536
p1_l70_tp2_dual_prefill_in4096_out32_c8,edgexpert-7d4c,roceP2p1s0f0,0,0
p1_l70_tp2_dual_prefill_in4096_out32_c8,edgexpert-7d4c,rocep1s0f0,0,0
p1_l70_tp2_dual_prefill_in4096_out32_c8,edgexpert-8277,roceP2p1s0f0,0,0
p1_l70_tp2_dual_prefill_in4096_out32_c8,edgexpert-8277,rocep1s0f0,0,0
p1_l70_tp2_dual_prefill_in4096_out32_c8,edgexpert-82e3,roceP2p1s0f0,2888550656,2888565044
p1_l70_tp2_dual_prefill_in4096_out32_c8,edgexpert-82e3,rocep1s0f0,2891149536,2891160448
p1_l70_tp2pp2_dual_decode_in128_out1024_c1,edgexpert-7afa,roceP2p1s0f0,18277261480,18276215368
p1_l70_tp2pp2_dual_decode_in128_out1024_c1,edgexpert-7afa,rocep1s0f0,18515083896,18308955404
p1_l70_tp2pp2_dual_decode_in128_out1024_c1,edgexpert-7d4c,roceP2p1s0f0,18277285200,18276206604
p1_l70_tp2pp2_dual_decode_in128_out1024_c1,edgexpert-7d4c,rocep1s0f0,18515144360,18308986728
p1_l70_tp2pp2_dual_decode_in128_out1024_c1,edgexpert-8277,roceP2p1s0f0,19111266216,19112322932
p1_l70_tp2pp2_dual_decode_in128_out1024_c1,edgexpert-8277,rocep1s0f0,19174835076,19380973176
p1_l70_tp2pp2_dual_decode_in128_out1024_c1,edgexpert-82e3,roceP2p1s0f0,19111268052,19112336052
p1_l70_tp2pp2_dual_decode_in128_out1024_c1,edgexpert-82e3,rocep1s0f0,19174876012,19381024032
p1_l70_tp2pp2_dual_decode_in128_out1024_c32,edgexpert-7afa,roceP2p1s0f0,68416738572,67868567564
p1_l70_tp2pp2_dual_decode_in128_out1024_c32,edgexpert-7afa,rocep1s0f0,68540962464,67891828496
p1_l70_tp2pp2_dual_decode_in128_out1024_c32,edgexpert-7d4c,roceP2p1s0f0,68417431996,67868316788
p1_l70_tp2pp2_dual_decode_in128_out1024_c32,edgexpert-7d4c,rocep1s0f0,68541332356,67891408324
