run,collective,nodes,mode,rep,transport,size,time_us,algbw,busbw
nccl_all_reduce_perf_np2_single_rep3,all_reduce,2,single,3,IB,16777216,1412.04,11.88,11.88
nccl_all_reduce_perf_np2_single_rep3,all_reduce,2,single,3,IB,33554432,2688.27,12.48,12.48
nccl_all_reduce_perf_np2_single_rep3,all_reduce,2,single,3,IB,67108864,5651.95,11.87,11.87
nccl_all_reduce_perf_np2_single_rep3,all_reduce,2,single,3,IB,134217728,11648.2,11.52,11.52
nccl_all_reduce_perf_np2_single_rep3,all_reduce,2,single,3,IB,268435456,21789.0,12.32,12.32
nccl_all_reduce_perf_np2_single_rep3,all_reduce,2,single,3,IB,536870912,39247.3,13.68,13.68
nccl_all_reduce_perf_np2_single_rep3,all_reduce,2,single,3,IB,1073741824,77698.8,13.82,13.82
nccl_all_reduce_perf_np2_tcp_rep1,all_reduce,2,tcp,1,Socket,1024,410.53,0.0,0.0
nccl_all_reduce_perf_np2_tcp_rep1,all_reduce,2,tcp,1,Socket,2048,429.11,0.0,0.0
nccl_all_reduce_perf_np2_tcp_rep1,all_reduce,2,tcp,1,Socket,4096,487.74,0.01,0.01
nccl_all_reduce_perf_np2_tcp_rep1,all_reduce,2,tcp,1,Socket,8192,478.16,0.02,0.02
nccl_all_reduce_perf_np2_tcp_rep1,all_reduce,2,tcp,1,Socket,16384,443.52,0.04,0.04
nccl_all_reduce_perf_np2_tcp_rep1,all_reduce,2,tcp,1,Socket,32768,447.41,0.07,0.07
nccl_all_reduce_perf_np2_tcp_rep1,all_reduce,2,tcp,1,Socket,65536,586.69,0.11,0.11
nccl_all_reduce_perf_np2_tcp_rep1,all_reduce,2,tcp,1,Socket,131072,748.96,0.18,0.18
nccl_all_reduce_perf_np2_tcp_rep1,all_reduce,2,tcp,1,Socket,262144,1483.08,0.18,0.18
nccl_all_reduce_perf_np2_tcp_rep1,all_reduce,2,tcp,1,Socket,524288,2004.4,0.26,0.26
nccl_all_reduce_perf_np2_tcp_rep1,all_reduce,2,tcp,1,Socket,1048576,3936.89,0.27,0.27
nccl_all_reduce_perf_np2_tcp_rep1,all_reduce,2,tcp,1,Socket,2097152,5512.42,0.38,0.38
nccl_all_reduce_perf_np2_tcp_rep1,all_reduce,2,tcp,1,Socket,4194304,6738.1,0.62,0.62
nccl_all_reduce_perf_np2_tcp_rep1,all_reduce,2,tcp,1,Socket,8388608,8828.32,0.95,0.95
nccl_all_reduce_perf_np2_tcp_rep1,all_reduce,2,tcp,1,Socket,16777216,15793.1,1.06,1.06
nccl_all_reduce_perf_np2_tcp_rep1,all_reduce,2,tcp,1,Socket,33554432,24399.5,1.38,1.38
nccl_all_reduce_perf_np2_tcp_rep1,all_reduce,2,tcp,1,Socket,67108864,38897.8,1.73,1.73
nccl_all_reduce_perf_np2_tcp_rep1,all_reduce,2,tcp,1,Socket,134217728,68376.6,1.96,1.96
nccl_all_reduce_perf_np2_tcp_rep1,all_reduce,2,tcp,1,Socket,268435456,125672.0,2.14,2.14
nccl_all_reduce_perf_np2_tcp_rep1,all_reduce,2,tcp,1,Socket,536870912,249227.0,2.15,2.15
nccl_all_reduce_perf_np2_tcp_rep1,all_reduce,2,tcp,1,Socket,1073741824,494861.0,2.17,2.17
nccl_all_reduce_perf_np2_tcp_rep2,all_reduce,2,tcp,2,Socket,1024,165.9,0.01,0.01
nccl_all_reduce_perf_np2_tcp_rep2,all_reduce,2,tcp,2,Socket,2048,242.71,0.01,0.01
nccl_all_reduce_perf_np2_tcp_rep2,all_reduce,2,tcp,2,Socket,4096,199.38,0.02,0.02
nccl_all_reduce_perf_np2_tcp_rep2,all_reduce,2,tcp,2,Socket,8192,175.16,0.05,0.05
nccl_all_reduce_perf_np2_tcp_rep2,all_reduce,2,tcp,2,Socket,16384,240.14,0.07,0.07
nccl_all_reduce_perf_np2_tcp_rep2,all_reduce,2,tcp,2,Socket,32768,517.42,0.06,0.06
nccl_all_reduce_perf_np2_tcp_rep2,all_reduce,2,tcp,2,Socket,65536,572.36,0.11,0.11
nccl_all_reduce_perf_np2_tcp_rep2,all_reduce,2,tcp,2,Socket,131072,732.6,0.18,0.18
